title,words,characters,no spaces,no punctuation,no both
Chapter 1212: Eighth Mountain and Sea,2104,12254,10151,11828,9725
Chapter 1213: Heavengod Alliance,2223,12750,10528,12293,10071
Chapter 1214: My Name is Meng Hao!,2198,12795,10598,12369,10172
Chapter 1215: Single-handedly Rocking Blacksoul!,2195,12696,10502,12311,10117
Chapter 1216: Fledgling Mountains and Seas!!,1882,10924,9043,10542,8661
Chapter 1217: Patriarch Blacksoul!,1971,11575,9605,11201,9231
Chapter 1218: Mutual Deception!,1365,8082,6718,7823,6459
"Chapter 1219: Planet Blacksoul, Crumble!",1867,11094,9228,10757,8891
"Chapter 1220: When Rivals Face Off, Victory Goes To the Brave",1985,11561,9577,11195,9211
Chapter 1221: A Scholar Taking the Imperial Examinations,2469,14387,11919,13949,11481
Chapter 1222: Storm Clouds Approach,2090,12089,10000,11721,9632
Chapter 1223: Is This a Dream?,2246,12956,10711,12500,10255
"Chapter 1224: Be a Good Kid, My Little Disciple, Dont Run!",2048,11810,9763,11361,9314
"Chapter 1225: Master, Save Me!",2129,12005,9877,11581,9453
Chapter 1226: The Something-something Seal the Heavens Incantation,2320,13380,11061,12877,10558
Chapter 1227: Daoist Priest!,2325,13446,11122,12921,10597
Chapter 1228: Supreme Power!,2155,12569,10415,12216,10062
Chapter 1229: Did I Say You Could Go?,2158,12584,10427,12173,10016
Chapter 1230: Initial Contact with the Meng Clan!,2101,12053,9953,11658,9558
Chapter 1231: Deadly Catastrophe!,2098,11891,9794,11486,9389
Chapter 1232: Essence Stirs Only For the Daosource!,2184,12519,10336,12062,9879
Chapter 1233: Initial Opening of the 33 Hells!,2252,12865,10614,12419,10168
Chapter 1234: Greed Eyes a Body!,2072,11765,9694,11402,9331
Chapter 1235: Counter-Attack!,2030,11676,9647,11305,9276
Chapter 1236: Were Still Good Friends!,2149,12159,10011,11730,9582
Chapter 1237: Detected!,2228,12488,10261,12030,9803
Chapter 1238: Possessed by Greed!,2119,12068,9950,11679,9561
Chapter 1239: Body Refining!,2044,11721,9678,11312,9269
Chapter 1240: An Incredible Person!,1999,11662,9664,11247,9249
Chapter 1241: Scared Half to Death!,1850,10732,8883,10343,8494
Chapter 1242: Blue Sun!,1946,11086,9141,10696,8751
Chapter 1243: Nine Seals' Handiwork,1883,10943,9061,10548,8666
Chapter 1244: Meng Hao Awakens!,2076,11877,9802,11416,9341
Chapter 1245: Signs of the Door of the Ancient Realm!,2027,11343,9317,10938,8912
Chapter 1246: Cleanly and Thoroughly!,1939,10959,9021,10518,8580
Chapter 1247: Meng Chen Again,2084,11566,9483,11126,9043
Chapter 1248: Leaving the 33 Hells!,2133,12075,9943,11690,9558
Chapter 1249: Im Meng Chen!,2014,11337,9324,10964,8951
Chapter 1250: The Way Back,2136,11764,9629,11380,9245
Chapter 1251: The Wind Picks Up....,2074,11942,9869,11518,9445
Chapter 1252: Attack!,2025,11539,9515,11117,9093
Chapter 1253: This is the Meng Clan!,2086,11461,9376,11040,8955
Chapter 1254: Grandma Meng!,2263,12841,10579,12351,10089
Chapter 1255: I'm Here To Defend You!,2216,12335,10120,11936,9721
Chapter 1256: Make a Name!,2145,12519,10375,12032,9888
Chapter 1257: Sermon on the Dao!,2185,12681,10497,12267,10083
Chapter 1258: Exterminating the Xu Clan!,1989,11462,9474,11067,9079
Chapter 1259: Imposing Grandma Meng!,1929,11090,9162,10678,8750
Chapter 1260: What Is The Point... Of Leaving Any Behind!?,1411,8088,6678,7805,6395
Chapter 1261: One Option... Amputate!,1955,11180,9226,10820,8866
Chapter 1262: Activating the Clan Defense Formation,1895,10850,8956,10469,8575
Chapter 1263: Removing Nine Spikes; the Seventh Sea Mobilizes!,2155,12525,10371,12144,9990
Chapter 1264: Just Where Are You?,2183,12574,10392,12128,9946
Chapter 1265: Comeback,1842,10665,8824,10275,8434
Chapter 1266: Not Strong Enough,2113,12108,9996,11665,9553
Chapter 1267: Together!,2005,11489,9485,11091,9087
Chapter 1268: The Door of the Ancient Realm is Coming!,1935,11224,9290,10838,8904
Chapter 1269: Shocking Tribulation!,1868,11011,9144,10583,8716
Chapter 1270: Weird!,1888,11000,9113,10582,8695
Chapter 1271: Foreigners Invade!,2059,11959,9901,11573,9515
Chapter 1272: Retreat Is Not an Option!,2066,11949,9884,11505,9440
Chapter 1273: Soul Extermination!,1983,11466,9484,11078,9096
Chapter 1274: Opening The Door of the Ancient Realm!,2094,11984,9891,11616,9523
Chapter 1275: Drastic Upheavals in the Meng Clan!,2041,12083,10043,11722,9682
Chapter 1276: Igniting the Soul Lamps!,2031,11729,9699,11304,9274
Chapter 1277: Battling a Dao Sovereign!,1827,10480,8654,10055,8229
Chapter 1278: Essence of Reality!,2121,12285,10165,11904,9784
Chapter 1279: Prime Lamp!,1947,11085,9139,10730,8784
Chapter 1280: Paragon Soul Lamp!,1870,10822,8953,10399,8530
Chapter 1281: Take No Prisoners!,2066,11945,9880,11551,9486
Chapter 1282: Cleansing the Lands With the Fire of War!,2166,12488,10323,12139,9974
Chapter 1283: Marquis Lu!,2020,11504,9485,11147,9128
Chapter 1284: The Power of the Mountain and Sea Realm!,2094,11854,9761,11456,9363
Chapter 1285: The Spell Formation Stirs!,2092,11763,9672,11335,9244
Chapter 1286: Seeing the Meng Clan Off!,1860,10625,8766,10280,8421
Chapter 1287: Outsider!,1938,11032,9095,10676,8739
Chapter 1288: Seizing All Opportunities!,1976,11277,9302,10935,8960
Chapter 1289: Extinguishing the First Lamp!,1966,11363,9398,10960,8995
Chapter 1290: Returning to the Heavengod Alliance,1914,10932,9019,10572,8659
Chapter 1291: Who Said It Was a Worthless Incantation?,2092,12106,10015,11716,9625
Chapter 1292: Are you... My Grandpa Meng?,2035,11726,9692,11388,9354
Chapter 1293: Storm Clouds Approach,2195,12450,10256,12008,9814
Chapter 1294: I'm Waiting For You!,2069,11800,9732,11433,9365
Chapter 1295: The Lord of the Seventh Mountain and Sea Arrives!,2242,12926,10685,12568,10327
Chapter 1296: THAT Spear!,2037,12032,9996,11633,9597
Chapter 1297: An Extraordinary Showdown!,2214,12884,10671,12458,10245
Chapter 1298: Reproaching Seal!,1842,10908,9067,10529,8688
Chapter 1299: Know This: The Mountain and Sea Realm is Mine!,2101,11857,9757,11453,9353
Chapter 1300: A Projection of Dao Fang!,2191,12641,10451,12193,10003
Chapter 1301: Victory!,2047,11637,9591,11246,9200
Chapter 1302: Critical Juncture....,2061,11518,9458,11095,9035
Chapter 1303: Possessing and Consuming!,2168,12146,9979,11761,9594
Chapter 1304: Old Turtle Reliance!,2141,12190,10050,11737,9597
Chapter 1305: Legacy Door!,2034,11866,9833,11405,9372
Chapter 1306: Third Generation Demon Sealer!,2303,13300,10998,12835,10533
Chapter 1307: Hex Enlightenment,2221,12755,10535,12273,10053
Chapter 1308: Searching For The Present Life!,1970,11364,9395,10905,8936
"Chapter 1309: Cultivation Base, Erupt!",2003,11384,9382,10996,8994
Chapter 1310: Let Me Help You!,1993,11291,9299,10800,8808
Chapter 1311: Crushing!,1429,8162,6734,7844,6416
Chapter 1312: Lord White Turns Outsider!,1926,11160,9235,10820,8895
"Chapter 1313: If You Dare Kill Him, The War Starts!",2116,11932,9817,11607,9492
Chapter 1314: FIGHT!,2050,11850,9801,11419,9370
"Chapter 1315: Lord White Falls, The Battle Commences!",1876,10921,9046,10550,8675
Chapter 1316: Outsider Paragon!,2095,12325,10231,11931,9837
Chapter 1317: Killing Intent of a Paragon!,2172,12747,10576,12326,10155
Chapter 1318: Battling a Dao Sovereign!,2116,12496,10381,12130,10015
Chapter 1319: The Reserves of the Mountains and Seas,2219,12901,10683,12530,10312
Chapter 1320: Returning to the 33 Hells!,2061,12085,10025,11686,9626
Chapter 1321: Grandfather and Grandson Reunite!,2118,12077,9960,11644,9527
Chapter 1322: Arriving in the Seventh Mountain!,2031,11678,9648,11308,9278
Chapter 1323: War Requires Spirit!,2384,13465,11082,13039,10656
Chapter 1324: The Agreement of Planet Tiger Cage!,2418,13757,11340,13279,10862
Chapter 1325: Meng Haos Heart....,2154,12096,9943,11670,9517
Chapter 1326: Entering the Vale of the Godgrave!,1938,10954,9017,10597,8660
Chapter 1327: Nothing More Than a Demonic Beast!,1456,8159,6704,7854,6399
Chapter 1328: Vale of the Godgrave!,2105,11924,9820,11537,9433
Chapter 1329: Breakthrough!,1946,11076,9131,10738,8793
Chapter 1330: Dao Lord Fleshly Body!,2062,11856,9795,11481,9420
Chapter 1331: God Curse!,1939,11163,9225,10747,8809
Chapter 1332: Extinguishing the Sixth Lamp!,2117,12082,9966,11696,9580
Chapter 1333: Was I So Wrong?,2314,12801,10488,12330,10017
Chapter 1334: Dao Sovereign!,1874,10789,8916,10400,8527
"Chapter 1335: Xu Qing, I'm here!",2050,11691,9642,11285,9236
Chapter 1336: Reuniting As Planned,2274,12578,10305,12146,9873
Chapter 1337: Destination: First Heaven!,2051,11722,9672,11288,9238
Chapter 1338: Dao Tribulation Comes!,2021,11880,9860,11470,9450
"Chapter 1339: 10,000 Star Detonation!",1434,8450,7017,8183,6750
Chapter 1340: To Exterminate this World!,2083,12081,9999,11669,9587
Chapter 1341: The Dao Sovereign Escapes!,1883,10711,8829,10370,8488
Chapter 1342: Earth Shatters!,1913,11097,9185,10765,8853
Chapter 1343: Heaven Collapses!!,1411,8206,6796,7937,6527
Chapter 1344: Another Encounter With World Essence!,2151,12411,10261,11960,9810
Chapter 1345: Hexing Magic Essence!,1888,10686,8799,10340,8453
Chapter 1346: Essence of space!,1931,11204,9274,10768,8838
Chapter 1347: A Cold Glow in the Eyes!,2060,12003,9944,11659,9600
Chapter 1348: Enslaving a Paragon!,2103,12027,9925,11603,9501
Chapter 1349: The Unyielding Soul of a Paragon,2048,11544,9497,11163,9116
Chapter 1350: Full Scale Counterattack!,1999,11486,9488,11095,9097
Chapter 1351: The 1st Heaven Acknowledges Allegiance!,2011,11857,9847,11499,9489
Chapter 1352: Crown Prince of the Mountains and Seas!,2251,12600,10350,12215,9965
Chapter 1353: I Demand An Explanation!,2286,12569,10284,12134,9849
Chapter 1354: The 32 Heavens are Coming!,2280,12910,10631,12529,10250
Chapter 1355: Paragon Xuan Fang!,1933,11215,9283,10907,8975
Chapter 1356: Plot To Fragment the Heavens!,2060,11747,9688,11395,9336
Chapter 1357: Throw Myself Out as Bait!,2080,11867,9788,11477,9398
Chapter 1358: Battling Paragon Xuan Fang!,1929,11021,9093,10673,8745
Chapter 1359: Oh So Devious!,1996,11338,9343,10974,8979
Chapter 1360: Six Hexes Combine!,2151,12159,10009,11737,9587
Chapter 1361: Risking It All In Battle!,2145,12435,10291,12028,9884
Chapter 1362: Extinguishing Four Soul Lamps!,2014,11589,9576,11202,9189
Chapter 1363: Sealing a Paragon!,2111,11778,9668,11395,9285
Chapter 1364: Demon and Immortal!,2147,12454,10308,12026,9880
Chapter 1365: The Daoist Societies Make a Move!,2090,12078,9989,11717,9628
Chapter 1366: Advancing the Decisive Battle!,2144,12312,10169,11936,9793
Chapter 1367: No Choice But to Descend!,2003,11444,9442,11088,9086
Chapter 1368: Reversals!,1973,11215,9243,10864,8892
"Chapter 1369: Sun, Detonate!",1992,11205,9214,10858,8867
Chapter 1370: Bow In Hand!,2059,11769,9711,11321,9263
Chapter 1371: Paragon in Terror!,1911,11158,9248,10802,8892
Chapter 1372: Mythdragon Perishes!,2091,12005,9915,11594,9504
"Chapter 1373: Mountains Crumble, Seas are Destroyed!",2192,12922,10731,12553,10362
Chapter 1374: Returning to the 33 Hells!,1953,11199,9247,10802,8850
Chapter 1375: Ive Been Waiting!,2018,11539,9522,11077,9060
Chapter 1376: The State of Clear Water....,2138,12194,10057,11718,9581
Chapter 1378: 8-Essences Arrive!,2005,11540,9536,11196,9192
Chapter 1379: Incredible Power,1924,11304,9381,10925,9002
Chapter 1380: Three Scriptures Seal the Almighty!,2203,12852,10650,12463,10261
Chapter 1381: Fierce Killing!,1905,10979,9075,10639,8735
Chapter 1382: Three Scripture Spikes!,2005,11499,9495,11084,9080
Chapter 1383: The Staff of Dao Fang!,2031,11508,9478,11141,9111
Chapter 1384: Driving a Wedge!,2185,12447,10263,11977,9793
Chapter 1385: Life or Death for the People of the Mountains and Seas!,2049,11863,9815,11418,9370
Chapter 1386: Fighting Will Cleaves Heaven and Earth!,2135,12408,10274,11995,9861
Chapter 1387: Planet South Heaven In Peril!,2326,13611,11286,13218,10893
Chapter 1388: We Mountain and Sea Cultivators!,1929,11091,9163,10768,8840
Chapter 1389: Stand Behind Me!,1996,11585,9590,11244,9249
"Chapter 1390: Farewell, My Haoer",2083,11873,9791,11432,9350
Chapter 1391: I Dont Need Any Of It,1897,10704,8808,10219,8323
Chapter 1392: Happy Now?,2378,13449,11072,12935,10558
Chapter 1393: Guilty Because of the Fang Clan!,2059,11749,9691,11294,9236
Chapter 1394: Slaughter Slashes the Immortal Gods!,2086,12048,9963,11658,9573
Chapter 1395: The Mountains and Seas Erupt!,2155,12366,10212,11950,9796
Chapter 1396: Devil Realm World-Butterfly!,2068,12089,10022,11688,9621
Chapter 1397: I Shall Bestow You With Ultimate Good Fortune!,1991,11597,9607,11235,9245
Chapter 1398: The Starry Sky of the Vast Expanse,2105,12222,10118,11802,9698
Chapter 1399: The Butterfly Flies!,2123,12138,10016,11751,9629
Chapter 1400: Green Coffin Vortex!,2158,12264,10107,11848,9691
"Chapter 1401: Wake Up, Wake Up!",1925,11132,9208,10760,8836
Chapter 1402: I Shall Possess the Mountains and Seas!,2061,11880,9820,11509,9449
Chapter 1403: The Supreme Seal the Heavens Incantation!,2084,12073,9990,11736,9653
"Chapter 1404: Immortal, God, Demon, Devil, Ghost!",2170,12180,10011,11726,9557
Chapter 1405: Wiping the Paragon Bridge from the Dao!,1939,11183,9245,10817,8879
Chapter 1406: For Hope!,2012,11532,9521,11149,9138
Chapter 1407: How Could I Possibly Close My Eyes!?,1993,11157,9165,10792,8800
Chapter 1408: The Parrots Choice!,2008,11483,9476,11058,9051
Chapter 1409: My Mountain and Sea Realm!,2061,11866,9806,11463,9403
Chapter 1410: Bronze Replaces the Heavens,2206,12402,10197,12004,9799
Chapter 1411: The Vast Expanse Bell Heralds the Arrival of a Paragon!,2172,12343,10172,11927,9756
Chapter 1412: Reeling Them In!,2133,12343,10211,11928,9796
"Chapter 1413: So, Are You Going To Sell This Corpse?",2149,12271,10123,11833,9685
Chapter 1414: Refining a Paragon Corpse!,2150,12533,10384,12150,10001
Chapter 1415: Vast Expanse Dao Body!,1840,10764,8925,10428,8589
Chapter 1416: Welcoming Light!,2070,11927,9858,11560,9491
Chapter 1417: Who Cares If You Know!?,1931,11006,9076,10655,8725
Chapter 1418: Ninth Paragon!,2086,12033,9948,11633,9548
Chapter 1419: Putting Down Roots!,2125,12180,10056,11766,9642
Chapter 1420: A Direction for Transcendence!,2048,11638,9591,11271,9224
Chapter 1421: Provocation!,2076,11996,9921,11622,9547
Chapter 1422: Leave My Mark!,2155,12007,9853,11630,9476
Chapter 1423: Necropolis Ghost City!,1830,10517,8688,10187,8358
Chapter 1424: The Ghost Masses Offer Worship!,2182,12427,10246,11908,9727
Chapter 1425: Allheaven Fears the Immortal!,1971,11113,9143,10706,8736
Chapter 1426: Bombardment of Killing Intent!,2077,12152,10076,11767,9691
Chapter 1427: All Ye Shall Call Me Allheaven!,2012,11663,9652,11208,9197
Chapter 1428: The Passing of Ages in Frescoes,2002,11590,9589,11161,9160
Chapter 1429: A Deep Look at the Vast Expanse!,1894,10811,8918,10446,8553
Chapter 1430: Crushing the Sixth Paragon!,2033,11644,9612,11250,9218
"Chapter 1431: One Flees, Terrified!",1862,10547,8686,10202,8341
Chapter 1432: Transcendence Dais!,1415,8069,6655,7818,6404
Chapter 1433: Killing With Witnesses!,1211,6978,5768,6736,5526
Chapter 1434: Battling Jin Yunshan!,1257,7139,5883,6914,5658
Chapter 1435: Heaven Ripping!,1188,6759,5572,6553,5366
Chapter 1436: Fourth Fist Strike: Devil-Butchering!,1257,7494,6238,7238,5982
Chapter 1437: Sealing the World-Slaughtering Finger!,1394,8172,6779,7913,6520
Chapter 1438: Void Divinity Conversion!,1824,10311,8488,9942,8119
Chapter 1439: The Call of the Emperor,1699,9780,8082,9432,7734
Chapter 1440: The Five Potentates!,1966,11154,9189,10837,8872
Chapter 1441: Transcendence Dais!,1947,11275,9329,10900,8954
Chapter 1442: He Wont Last Five Days!,1955,11315,9361,10939,8985
Chapter 1443: Difficulty Completing the Ninth Hex!,1777,10255,8479,9875,8099
Chapter 1444: Swear an Oath!,1918,11225,9308,10874,8957
Chapter 1445: One Word!!,1846,10426,8581,10074,8229
Chapter 1446: The Aura of the Copper Mirror!,1837,10593,8757,10221,8385
"Chapter 1447: Yeah, I Am!",2033,11472,9440,11065,9033
Chapter 1448: A Year....,2318,13089,10772,12618,10301
Chapter 1449: Haowie,2294,12839,10546,12257,9964
Chapter 1450: Joining the Sect!,2249,12820,10572,12405,10157
Chapter 1451: Han Beis Secret!,1975,11579,9605,11168,9194
Chapter 1452: Leverage!,2421,13713,11293,13220,10800
"Chapter 1453: Enjoy Yourself, Prince!",2349,13346,10998,12881,10533
Chapter 1454: You Screwed Us Over....,1983,11270,9288,10811,8829
Chapter 1455: The Ninth Paragon Arrives!,2103,11913,9811,11485,9383
Chapter 1456: Who Else?,1873,10494,8622,10086,8214
Chapter 1457: Vast Expanse Shrine!,2242,12614,10373,12136,9895
Chapter 1458: The Long and Broad View,1742,9753,8012,9318,7577
Chapter 1459: Youre Fang Mu!,1888,10669,8782,10156,8269
Chapter 1460: A Smile From the Peak!,1995,11157,9163,10710,8716
Chapter 1461: Vast Expanse Shrine!,1919,11039,9121,10688,8770
Chapter 1462: Establishing a Legend!,1928,11107,9180,10760,8833
Chapter 1463: Seal the Heavens Hex!,2049,12031,9983,11670,9622
Chapter 1464: Tolling in Nine Sects!,1957,11075,9119,10664,8708
Chapter 1465: Completely Brazen!,1714,9998,8285,9590,7877
Chapter 1466: Who Else?,1767,10396,8630,9990,8224
Chapter 1467: Seven Sealing Marks Eradicate Tribulation!,1838,10787,8950,10440,8603
Chapter 1468: I'm Here for the Copper Mirror!,2064,11892,9829,11480,9417
Chapter 1469: Conflicts,1899,10685,8787,10369,8471
Chapter 1470: Copper Mirror Shard!,1854,10290,8437,9959,8106
Chapter 1471: Righteous Jin Yunshan!,1948,11032,9085,10682,8735
Chapter 1472: Thats Not How To Use That Mirror Shard!,1395,7894,6500,7637,6243
Chapter 1473: Because Its Mine!,1889,10628,8740,10276,8388
"Chapter 1474: A Long, Long Path....",2207,12570,10364,12172,9966
Chapter 1475: Marriage Alliance!,1432,8390,6959,8049,6618
Chapter 1476: Of Course!,2169,12067,9899,11541,9373
Chapter 1477: Provoking the Ninth Sect,2122,12076,9955,11733,9612
Chapter 1478: The Third Mirror Shard,2115,12029,9915,11630,9516
Chapter 1479: Stepping On All the Sects Shrines!,2109,11830,9722,11340,9232
Chapter 1480: Challenging all the Sects!,1318,7520,6203,7231,5914
Chapter 1481: The Peak of the World,2061,11729,9669,11345,9285
Chapter 1482: Looking Back at This Life!,1941,10927,8987,10466,8526
Chapter 1483: On the Transcendence Path!,1908,11029,9122,10687,8780
Chapter 1484: Extinguishing Soul Lamps on the Path!,1915,11007,9093,10639,8725
Chapter 1485: Malicious Intentions!,1787,10156,8370,9778,7992
Chapter 1486: The Clone Passes Away In Meditation,1801,10573,8773,10156,8356
Chapter 1487: Reincarnation!,2089,11742,9654,11366,9278
Chapter 1488: Little Tiger Shi,2053,11257,9205,10852,8800
Chapter 1489: Chen Lei,2181,12109,9929,11678,9498
Chapter 1490: Little Mute,2100,11679,9580,11244,9145
Chapter 1491: Xu Liuyun,2063,11440,9378,11085,9023
Chapter 1492: Mutt,1943,10575,8633,10230,8288
Chapter 1493: Wait Until I Grow Up....,2405,13406,11002,12899,10495
Chapter 1494: Little Treasure,2017,11155,9139,10619,8603
Chapter 1495: World of Ice and Fire!,1851,10683,8833,10303,8453
Chapter 1496: Decision by Battle,1910,10714,8805,10308,8399
Chapter 1497: Borrowing Power for the Search!,1816,10632,8817,10282,8467
Chapter 1498: The Return Call!,2137,12231,10095,11845,9709
Chapter 1499: Familiar Fluctuations!,1785,10425,8641,10062,8278
Chapter 1500: Holding the Line!,1791,10409,8619,10115,8325
"Chapter 1501: Set Foot In Here, and Die!",1909,10744,8836,10419,8511
Chapter 1502: Who Am I?,1938,10952,9015,10585,8648
Chapter 1503: Transcendent Armor!,1796,10123,8328,9740,7945
Chapter 1504: Song Daozi!,2093,11724,9632,11347,9255
Chapter 1505: You Are The Son of Allheaven,1882,10553,8672,10185,8304
Chapter 1506: Cut Off Outside the Vast Expanse!,1906,10777,8872,10376,8471
Chapter 1507: Cant Tell Clearly,1956,10821,8866,10394,8439
Chapter 1508: Vast Expanse Society,2043,11477,9435,11106,9064
Chapter 1509: Following the Crowd,1799,10060,8262,9650,7852
Chapter 1510: Strange Occurrences!,1860,10307,8448,9894,8035
Chapter 1511: Im Meng Hao!!,1854,10398,8545,10023,8170
Chapter 1512: It All Falls Apart!,1896,10537,8642,10211,8316
Chapter 1513: Five Pillars!,2162,12131,9970,11762,9601
Chapter 1514:,1815,10284,8470,9910,8096
"Chapter 1515: Call Me Lord Fifth, Bitches!",1929,10990,9062,10615,8687
Chapter 1516: The Return!,1745,10006,8262,9624,7880
Chapter 1517: Hunting Down Han Bei!,1676,9621,7946,9309,7634
Chapter 1518: Nearing the Ninth Reincarnation!,1845,10377,8533,10044,8200
Chapter 1519: Han Bei Perishes!,1830,10422,8593,10069,8240
Chapter 1520: Sculpt the Heavens!,1894,10515,8622,10128,8235
Chapter 1521: The Heavens Inflict Punishment!,1836,10524,8689,10195,8360
Chapter 1522: Oh How Cruel,1924,10732,8809,10375,8452
Chapter 1523: My Destiny!,1736,9509,7774,9112,7377
Chapter 1524: Nine Reincarnations Together!,1735,9770,8036,9340,7606
"Chapter 1525: Goodbye, Yaner",1837,10334,8498,9951,8115
Chapter 1526: A Place to Transcend!,2238,12742,10505,12311,10074
Chapter 1527: Vast Expanse Leads the Defense!,1787,10335,8549,10010,8224
Chapter 1528: The Necropolis Again,1604,8851,7248,8587,6984
Chapter 1529: Flying Over the Land Masses!,1665,9438,7774,9132,7468
Chapter 1530: The Ninth Land Mass!,1663,9334,7672,9053,7391
Chapter 1531: Charge!,1783,10102,8320,9775,7993
Chapter 1532: All Ye Living Beings Art My Sons,1756,10112,8357,9828,8073
Chapter 1533: Dissolving the Hex!,1780,10305,8526,9991,8212
Chapter 1534: Fuse With Me!,1799,10391,8593,10065,8267
"Chapter 1535: I Am Meng Hao, Here I Transcend!",1584,9311,7728,9000,7417
Chapter 1536: Extinguishing the Bronze Lamp!,1719,9928,8210,9593,7875
Chapter 1537: Daosource Complete!,1849,10786,8938,10439,8591
Chapter 1538: A Universe!,1847,10381,8535,10029,8183
Chapter 1539: The Meat Jelly Shall Be Resurrected,1293,7268,5976,7062,5770
Chapter 1540: The Return of Lord Third!,1960,10952,8993,10501,8542
Chapter 1541: Lost in the Act!,1884,10614,8731,10222,8339
Chapter 1542: Demon Sovereign!,1792,10685,8894,10287,8496
Chapter 1543: Target: 33 Heavens!,1620,9262,7643,8932,7313
Chapter 1544: Excited and Trembling!,1700,9758,8059,9358,7659
"Chapter 1545: Dao Fang, Do You Remember Me?!",1834,10515,8682,10200,8367
Chapter 1546: Destroying the Aeon Span!,1685,9513,7829,9148,7464
Chapter 1547: Exterminating Dao Fang!,1846,10239,8394,9855,8010
Chapter 1548: Vicious!,1719,9700,7982,9389,7671
Chapter 1549: The Lands of the Sinners Shall Not Remain!,1567,8821,7255,8556,6990
Chapter 1550: Death Cannot Wipe Out Your Crimes!,1555,8929,7375,8673,7119
Chapter 1551: Ill Wait For You On the 10th Heaven!,1664,9842,8179,9516,7853
Chapter 1552: The Traitorous Ninth Sea!,1614,9329,7716,9039,7426
Chapter 1553: The Return of the Demon Sovereign!,1666,9534,7869,9174,7509
Chapter 1554: Transcendence Treasure!,1808,9969,8162,9630,7823
Chapter 1555: Summoning the Mountains and Seas!,2192,12775,10584,12472,10281
Chapter 1556: The Most Powerful Mountain and Sea!,2065,11790,9726,11492,9428
Chapter 1557: I Bestow Upon You the Title of Ninth Sea!,1927,11034,9108,10709,8783
Chapter 1558: Peace and Calm,1653,9291,7639,8998,7346
Chapter 1559: Reunions,1377,7522,6146,7235,5859
Chapter 1560: Recalling Past Times,1438,7905,6468,7603,6166
Chapter 1561: Mountain Among Mountains!,1448,8201,6754,7867,6420
Chapter 1562: She Does Not Wish to Awaken,1342,7585,6244,7327,5986
Chapter 1563: The Wind Stirs,1129,6493,5365,6290,5162
Chapter 1564: Immortal God Opening Salvo!,1393,8027,6635,7805,6413
Chapter 1565: Less Real Than it Seems,1163,6832,5670,6655,5493
Chapter 1566: The Resources!,1242,7503,6262,7315,6074
Chapter 1567: Not Willing!,1163,6663,5501,6471,5309
Chapter 1568: Puppets!,1254,7180,5927,6975,5722
Chapter 1569: Rot!,1211,6712,5502,6536,5326
Chapter 1570: Seeing Clearly!,1283,7448,6166,7215,5933
Chapter 1571: The Man in the Palace!,1396,7863,6468,7600,6205
Chapter 1572: The Devil Cometh!,1237,7033,5797,6820,5584
Chapter 1573: Testing,1126,6328,5203,6127,5002
Chapter 1574: Qualified to Explore the Universe!,1264,7199,5936,6956,5693
Chapter 1575: Battling the Devil Continent!,1647,9215,7569,8925,7279
Chapter 1576: All Beings Acknowledge Allegiance!,1251,7378,6128,7161,5911
Chapter 1577: Severing the Root of the Bloodline!,1360,7619,6260,7371,6012
Chapter 1578: Allheaven Transformation!,1283,7332,6050,7093,5811
Chapter 1579: Emperor Dragon Transformation!,1229,7273,6045,7002,5774
Chapter 1580: Third Transformation!,1192,7060,5869,6817,5626
Chapter 1581: You Think You Can Ruin Me?!,1260,7211,5952,6995,5736
Chapter 1582: Heavenly God Transformation!,1225,7074,5850,6851,5627
Chapter 1583: None Can Match My Strength!,1211,6891,5681,6661,5451
Chapter 1584: Six Hexes Combined!,1263,7332,6070,7052,5790
Chapter 1585: Consuming Allheaven!,1225,7085,5861,6875,5651
Chapter 1586: I am the Heavens!,1315,7710,6396,7468,6154
Chapter 1587: Starry Sky of the Mountains and Seas!,1298,7419,6122,7148,5851
Chapter 1588: Resurrecting Old Friends!,1254,7308,6055,7024,5771
Chapter 1589: Time is Limited!,1481,8412,6932,8162,6682
Chapter 1590: The End of a Generation,1450,7958,6509,7702,6253
Chapter 1591: Shui Donglius Jade Slip,1367,7586,6220,7297,5931
"Chapter 1592: Same Scenery, Filled with Strangers",1341,7493,6153,7236,5896
Chapter 1593: Loneliness,1417,7980,6564,7780,6364
Chapter 1594: Buried Within Time,1368,7757,6390,7526,6159
Chapter 1595: Someone Transcends!,1501,8662,7162,8436,6936
Chapter 1596: Goldrobes Covets the Mountains and Seas!,1337,7974,6638,7742,6406
Chapter 1597: Long Time No See,1300,7626,6327,7385,6086
Chapter 1598: You're Still Here?!,1293,7252,5960,6970,5678
Chapter 1599: Eighth Allheaven Transformation!,1173,6606,5434,6345,5173
Chapter 1600: I am the Ghost!,1260,7314,6055,7075,5816
Chapter 1601: You Can Call Me... Su Ming!,1282,7221,5940,6985,5704
Chapter 1602: The God Descends!,1294,7470,6177,7242,5949
Chapter 1603: Peak Battle!,1334,7668,6335,7430,6097
Chapter 1604: Destroying Allheavens Finger!,1216,7160,5945,6928,5713
Chapter 1605: Final Allheaven Transformation!,1214,6973,5760,6733,5520
Chapter 1606: Hex Versus Hex!,1241,7280,6040,7046,5806
Chapter 1607: Are You Coming?,1309,7437,6129,7163,5855
Chapter 1608: The End of an Epoch,1442,8302,6861,8021,6580
Chapter 1609: Becoming Allheaven!,1251,7292,6042,7037,5787
